RUN	simulations.CircuitBreakerSimulation	circuitbreakersimulation	1554985040255	 	3.0.3
USER	Circuit breaker scenario	1	START	1554985040759	1554985040759
REQUEST	1		circuit-breaker	1554985040798	1554985041135	OK	 
USER	Circuit breaker scenario	1	END	1554985040759	1554985041158
USER	Circuit breaker scenario	2	START	1554985041813	1554985041813
REQUEST	2		circuit-breaker	1554985041814	1554985042020	OK	 
USER	Circuit breaker scenario	2	END	1554985041813	1554985042021
USER	Circuit breaker scenario	3	START	1554985042813	1554985042813
REQUEST	3		circuit-breaker	1554985042815	1554985043027	OK	 
USER	Circuit breaker scenario	3	END	1554985042813	1554985043028
USER	Circuit breaker scenario	4	START	1554985043092	1554985043092
REQUEST	4		circuit-breaker	1554985043093	1554985043306	OK	 
USER	Circuit breaker scenario	4	END	1554985043092	1554985043307
USER	Circuit breaker scenario	5	START	1554985043422	1554985043422
REQUEST	5		circuit-breaker	1554985043423	1554985043635	OK	 
USER	Circuit breaker scenario	5	END	1554985043422	1554985043635
USER	Circuit breaker scenario	6	START	1554985043754	1554985043754
REQUEST	6		circuit-breaker	1554985043755	1554985043978	OK	 
USER	Circuit breaker scenario	6	END	1554985043754	1554985043979
USER	Circuit breaker scenario	7	START	1554985044254	1554985044254
REQUEST	7		circuit-breaker	1554985044255	1554985044476	OK	 
USER	Circuit breaker scenario	7	END	1554985044254	1554985044477
USER	Circuit breaker scenario	8	START	1554985044753	1554985044753
REQUEST	8		circuit-breaker	1554985044755	1554985044973	OK	 
USER	Circuit breaker scenario	8	END	1554985044753	1554985044974
USER	Circuit breaker scenario	9	START	1554985045003	1554985045003
REQUEST	9		circuit-breaker	1554985045004	1554985045214	OK	 
USER	Circuit breaker scenario	9	END	1554985045003	1554985045215
USER	Circuit breaker scenario	10	START	1554985045254	1554985045254
REQUEST	10		circuit-breaker	1554985045255	1554985045453	OK	 
USER	Circuit breaker scenario	10	END	1554985045254	1554985045455
USER	Circuit breaker scenario	11	START	1554985045503	1554985045503
REQUEST	11		circuit-breaker	1554985045504	1554985045705	OK	 
USER	Circuit breaker scenario	11	END	1554985045503	1554985045706
USER	Circuit breaker scenario	12	START	1554985045754	1554985045754
REQUEST	12		circuit-breaker	1554985045755	1554985045953	OK	 
USER	Circuit breaker scenario	12	END	1554985045754	1554985045954
USER	Circuit breaker scenario	13	START	1554985046092	1554985046092
REQUEST	13		circuit-breaker	1554985046093	1554985046296	OK	 
USER	Circuit breaker scenario	13	END	1554985046092	1554985046297
USER	Circuit breaker scenario	14	START	1554985046423	1554985046423
REQUEST	14		circuit-breaker	1554985046432	1554985046631	OK	 
USER	Circuit breaker scenario	14	END	1554985046423	1554985046631
USER	Circuit breaker scenario	15	START	1554985046752	1554985046752
REQUEST	15		circuit-breaker	1554985046753	1554985046962	OK	 
USER	Circuit breaker scenario	15	END	1554985046752	1554985046962
USER	Circuit breaker scenario	16	START	1554985047005	1554985047005
REQUEST	16		circuit-breaker	1554985047006	1554985047209	OK	 
USER	Circuit breaker scenario	16	END	1554985047005	1554985047209
USER	Circuit breaker scenario	17	START	1554985047255	1554985047255
REQUEST	17		circuit-breaker	1554985047256	1554985047465	OK	 
USER	Circuit breaker scenario	17	END	1554985047255	1554985047466
USER	Circuit breaker scenario	18	START	1554985047503	1554985047503
REQUEST	18		circuit-breaker	1554985047504	1554985047724	OK	 
USER	Circuit breaker scenario	18	END	1554985047503	1554985047724
USER	Circuit breaker scenario	19	START	1554985047752	1554985047752
USER	Circuit breaker scenario	20	START	1554985047952	1554985047952
REQUEST	19		circuit-breaker	1554985047753	1554985047971	OK	 
