RUN	simulations.RetrySimulation	retrysimulation	1555052678288	 	3.0.3
USER	Retry scenario	1	START	1555052679404	1555052679404
REQUEST	1		retry	1555052679433	1555052680246	OK	 
USER	Retry scenario	1	END	1555052679404	1555052680275
USER	Retry scenario	2	START	1555052680445	1555052680445
USER	Retry scenario	3	START	1555052681444	1555052681444
USER	Retry scenario	4	START	1555052681904	1555052681904
REQUEST	3		retry	1555052681445	1555052682079	OK	 
USER	Retry scenario	3	END	1555052681444	1555052682081
USER	Retry scenario	5	START	1555052682404	1555052682404
REQUEST	2		retry	1555052680446	1555052682805	OK	 
USER	Retry scenario	2	END	1555052680445	1555052682806
REQUEST	4		retry	1555052681905	1555052683060	OK	 
USER	Retry scenario	4	END	1555052681904	1555052683061
REQUEST	5		retry	1555052682404	1555052683294	OK	 
USER	Retry scenario	5	END	1555052682404	1555052683295
USER	Retry scenario	6	START	1555052683404	1555052683404
USER	Retry scenario	7	START	1555052683903	1555052683903
USER	Retry scenario	8	START	1555052684405	1555052684405
USER	Retry scenario	9	START	1555052684734	1555052684734
USER	Retry scenario	10	START	1555052685064	1555052685064
REQUEST	6		retry	1555052683405	1555052685384	OK	 
USER	Retry scenario	6	END	1555052683404	1555052685385
USER	Retry scenario	11	START	1555052685403	1555052685403
USER	Retry scenario	12	START	1555052685904	1555052685904
REQUEST	7		retry	1555052683904	1555052686159	OK	 
USER	Retry scenario	7	END	1555052683903	1555052686160
USER	Retry scenario	13	START	1555052686403	1555052686403
USER	Retry scenario	14	START	1555052686733	1555052686733
REQUEST	10		retry	1555052685065	1555052687036	OK	 
USER	Retry scenario	10	END	1555052685064	1555052687037
USER	Retry scenario	15	START	1555052687063	1555052687063
REQUEST	9		retry	1555052684735	1555052687202	OK	 
USER	Retry scenario	9	END	1555052684734	1555052687203
USER	Retry scenario	16	START	1555052687406	1555052687406
USER	Retry scenario	17	START	1555052687734	1555052687734
USER	Retry scenario	18	START	1555052688065	1555052688065
USER	Retry scenario	19	START	1555052688404	1555052688404
REQUEST	11		retry	1555052685404	1555052688511	OK	 
USER	Retry scenario	11	END	1555052685403	1555052688513
USER	Retry scenario	20	START	1555052688734	1555052688734
USER	Retry scenario	21	START	1555052689064	1555052689064
USER	Retry scenario	22	START	1555052689403	1555052689403
REQUEST	13		retry	1555052686404	1555052689613	OK	 
USER	Retry scenario	13	END	1555052686403	1555052689614
USER	Retry scenario	23	START	1555052689655	1555052689655
USER	Retry scenario	24	START	1555052689905	1555052689905
USER	Retry scenario	25	START	1555052690154	1555052690154
REQUEST	8		retry	1555052684405	1555052690181	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Retry scenario	8	END	1555052684405	1555052690190
USER	Retry scenario	26	START	1555052690403	1555052690403
USER	Retry scenario	27	START	1555052690734	1555052690734
USER	Retry scenario	28	START	1555052691066	1555052691066
REQUEST	12		retry	1555052685905	1555052691260	OK	 
USER	Retry scenario	12	END	1555052685904	1555052691261
USER	Retry scenario	29	START	1555052691405	1555052691405
USER	Retry scenario	30	START	1555052691655	1555052691655
USER	Retry scenario	31	START	1555052691905	1555052691905
REQUEST	14		retry	1555052686735	1555052692014	OK	 
USER	Retry scenario	14	END	1555052686733	1555052692015
REQUEST	16		retry	1555052687406	1555052692036	OK	 
USER	Retry scenario	16	END	1555052687406	1555052692037
USER	Retry scenario	32	START	1555052692156	1555052692156
REQUEST	15		retry	1555052687064	1555052692339	OK	 
USER	Retry scenario	15	END	1555052687063	1555052692341
USER	Retry scenario	33	START	1555052692407	1555052692407
USER	Retry scenario	34	START	1555052692645	1555052692645
USER	Retry scenario	35	START	1555052692895	1555052692895
USER	Retry scenario	36	START	1555052693145	1555052693145
REQUEST	17		retry	1555052687735	1555052693185	OK	 
REQUEST	19		retry	1555052688405	1555052693185	OK	 
USER	Retry scenario	19	END	1555052688404	1555052693186
USER	Retry scenario	17	END	1555052687734	1555052693186
